,account_id,district_id,frequency,date
50,2519,4,POPLATEK MESICNE,930115
51,10364,55,POPLATEK MESICNE,930117
52,1481,15,POPLATEK MESICNE,930117
53,401,32,POPLATEK MESICNE,930118
54,4034,1,POPLATEK MESICNE,930118
55,2330,54,POPLATEK MESICNE,930119
56,1806,40,POPLATEK MESICNE,930119
57,3834,54,POPLATEK MESICNE,930119
58,1222,66,POPLATEK MESICNE,930120
59,212,27,POPLATEK TYDNE,930120
60,456,49,POPLATEK MESICNE,930121
61,459,47,POPLATEK MESICNE,930121
62,772,45,POPLATEK MESICNE,930121
63,1019,52,POPLATEK MESICNE,930121
64,11295,74,POPLATEK MESICNE,930121
65,2970,60,POPLATEK MESICNE,930122
66,2676,73,POPLATEK MESICNE,930122
67,1536,41,POPLATEK TYDNE,930122
68,1179,74,POPLATEK MESICNE,930123
69,280,25,POPLATEK MESICNE,930123
70,2425,41,POPLATEK MESICNE,930123
71,9307,68,POPLATEK MESICNE,930124
72,4055,23,POPLATEK MESICNE,930124
73,5065,66,POPLATEK MESICNE,930124
74,3704,75,POPLATEK MESICNE,930124
75,477,1,POPLATEK MESICNE,930125
76,5891,54,POPLATEK MESICNE,930125
77,1000,77,POPLATEK MESICNE,930125
78,1750,1,POPLATEK MESICNE,930126
79,2023,68,POPLATEK MESICNE,930126
80,6473,12,POPLATEK MESICNE,930126
81,1649,46,POPLATEK MESICNE,930126
82,2670,13,POPLATEK MESICNE,930127
83,1127,27,POPLATEK MESICNE,930127
84,163,30,POPLATEK MESICNE,930127
85,2566,48,POPLATEK MESICNE,930127
86,9,70,POPLATEK MESICNE,930127
87,1144,59,POPLATEK MESICNE,930128
88,2902,32,POPLATEK MESICNE,930128
89,4296,63,POPLATEK MESICNE,930128
90,443,64,POPLATEK MESICNE,930128
91,3693,61,POPLATEK MESICNE,930129
92,2070,72,POPLATEK MESICNE,930129
93,1843,12,POPLATEK MESICNE,930130
94,2714,1,POPLATEK MESICNE,930130
95,4078,40,POPLATEK MESICNE,930130
96,1675,36,POPLATEK MESICNE,930201
97,5868,44,POPLATEK MESICNE,930202
98,1805,1,POPLATEK MESICNE,930202
99,2434,17,POPLATEK MESICNE,930202
100,3007,16,POPLATEK MESICNE,930202
101,2574,68,POPLATEK MESICNE,930202
102,862,64,POPLATEK TYDNE,930202
103,1132,1,POPLATEK TYDNE,930203
104,4484,54,POPLATEK MESICNE,930203
105,943,1,POPLATEK MESICNE,930203
106,3514,7,POPLATEK MESICNE,930203
107,3983,67,POPLATEK MESICNE,930204
108,9265,1,POPLATEK MESICNE,930204
109,465,32,POPLATEK MESICNE,930204
110,982,54,POPLATEK MESICNE,930205
111,411,70,POPLATEK MESICNE,930205
112,890,14,POPLATEK MESICNE,930205
113,627,63,POPLATEK MESICNE,930205
114,2429,61,POPLATEK MESICNE,930206
115,3960,64,POPLATEK MESICNE,930206
116,2256,48,POPLATEK MESICNE,930206
117,8051,1,POPLATEK TYDNE,930207
118,2647,73,POPLATEK MESICNE,930208
119,2241,6,POPLATEK MESICNE,930208
120,5622,70,POPLATEK MESICNE,930208
121,2884,1,POPLATEK MESICNE,930208
122,1830,10,POPLATEK MESICNE,930208
123,7753,74,POPLATEK MESICNE,930208
124,244,24,POPLATEK MESICNE,930208
125,1477,1,POPLATEK MESICNE,930208
126,4240,50,POPLATEK MESICNE,930208
127,1006,6,POPLATEK MESICNE,930208
128,830,74,POPLATEK MESICNE,930208
129,9188,45,POPLATEK MESICNE,930208
130,1965,57,POPLATEK PO OBRATU,930208
131,1134,6,POPLATEK MESICNE,930209
132,1601,10,POPLATEK MESICNE,930209
133,2861,38,POPLATEK MESICNE,930210
134,813,16,POPLATEK MESICNE,930210
135,2585,75,POPLATEK MESICNE,930210
136,2220,16,POPLATEK MESICNE,930210
137,2763,64,POPLATEK MESICNE,930211
138,2342,51,POPLATEK MESICNE,930211
139,1944,72,POPLATEK MESICNE,930212
140,1966,27,POPLATEK MESICNE,930212
141,1801,46,POPLATEK MESICNE,930213
142,2543,68,POPLATEK MESICNE,930213
143,2293,31,POPLATEK MESICNE,930213
144,11013,1,POPLATEK TYDNE,930214
145,2423,30,POPLATEK MESICNE,930214
146,142,51,POPLATEK MESICNE,930215
147,3424,74,POPLATEK MESICNE,930216
148,539,13,POPLATEK PO OBRATU,930216
149,979,21,POPLATEK MESICNE,930216
150,3554,66,POPLATEK MESICNE,930216
151,3545,51,POPLATEK MESICNE,930217
152,3047,16,POPLATEK MESICNE,930217
153,3374,21,POPLATEK MESICNE,930217
154,96,68,POPLATEK MESICNE,930218
155,461,30,POPLATEK MESICNE,930218
156,3593,1,POPLATEK MESICNE,930218
157,3026,24,POPLATEK MESICNE,930218
158,1054,10,POPLATEK MESICNE,930219
159,2433,71,POPLATEK MESICNE,930219
160,3691,50,POPLATEK MESICNE,930219
161,3787,70,POPLATEK MESICNE,930219
162,128,2,POPLATEK MESICNE,930219
163,3168,39,POPLATEK MESICNE,930220
164,4937,12,POPLATEK MESICNE,930220
165,2124,69,POPLATEK MESICNE,930220
166,322,1,POPLATEK MESICNE,930220
167,4355,31,POPLATEK MESICNE,930221
168,1678,1,POPLATEK MESICNE,930222
169,2396,2,POPLATEK MESICNE,930222
170,1005,54,POPLATEK TYDNE,930223
171,697,28,POPLATEK MESICNE,930223
172,925,59,POPLATEK MESICNE,930223
173,2110,64,POPLATEK MESICNE,930223
174,1366,60,POPLATEK MESICNE,930224
175,1050,57,POPLATEK PO OBRATU,930224
176,3117,33,POPLATEK MESICNE,930224
177,562,50,POPLATEK MESICNE,930225
178,5369,54,POPLATEK MESICNE,930225
179,2242,7,POPLATEK TYDNE,930225
180,197,1,POPLATEK MESICNE,930225
181,496,69,POPLATEK MESICNE,930226
182,2,1,POPLATEK MESICNE,930226
183,7401,1,POPLATEK MESICNE,930226
184,2486,1,POPLATEK MESICNE,930227
185,428,1,POPLATEK MESICNE,930227
186,3651,23,POPLATEK MESICNE,930227
187,1775,17,POPLATEK MESICNE,930227
188,1688,70,POPLATEK MESICNE,930227
189,361,51,POPLATEK MESICNE,930227
190,1829,43,POPLATEK MESICNE,930227
191,1575,1,POPLATEK MESICNE,930227
192,9203,70,POPLATEK MESICNE,930227
193,3008,72,POPLATEK MESICNE,930227
194,239,69,POPLATEK TYDNE,930301
195,3302,21,POPLATEK MESICNE,930302
196,415,25,POPLATEK MESICNE,930303
197,3513,20,POPLATEK MESICNE,930303
198,4134,7,POPLATEK MESICNE,930303
199,1077,14,POPLATEK MESICNE,930303
200,1713,43,POPLATEK MESICNE,930303
201,1378,59,POPLATEK MESICNE,930304
202,2503,1,POPLATEK MESICNE,930305
203,559,46,POPLATEK MESICNE,930305
204,6555,38,POPLATEK TYDNE,930305
205,744,42,POPLATEK MESICNE,930306
206,882,9,POPLATEK MESICNE,930306
207,86,54,POPLATEK MESICNE,930307
208,1126,56,POPLATEK MESICNE,930308
209,2666,49,POPLATEK MESICNE,930308
210,944,70,POPLATEK MESICNE,930308
211,1545,1,POPLATEK MESICNE,930308
212,2453,1,POPLATEK MESICNE,930308
213,3734,43,POPLATEK MESICNE,930308
214,3935,23,POPLATEK MESICNE,930308
215,396,21,POPLATEK MESICNE,930308
216,2694,7,POPLATEK MESICNE,930308
217,4596,74,POPLATEK MESICNE,930309
218,2489,72,POPLATEK MESICNE,930309
219,2895,19,POPLATEK MESICNE,930309
220,317,76,POPLATEK MESICNE,930310
221,2555,53,POPLATEK MESICNE,930310
222,494,60,POPLATEK MESICNE,930311
223,2219,60,POPLATEK MESICNE,930311
224,2581,72,POPLATEK MESICNE,930311
225,112,6,POPLATEK MESICNE,930312
226,3674,38,POPLATEK MESICNE,930312
227,2039,44,POPLATEK MESICNE,930312
228,2712,9,POPLATEK MESICNE,930312
229,395,1,POPLATEK MESICNE,930312
230,2974,9,POPLATEK MESICNE,930313
231,123,21,POPLATEK MESICNE,930313
232,9640,1,POPLATEK MESICNE,930313
233,3108,53,POPLATEK MESICNE,930314
234,2508,34,POPLATEK MESICNE,930314
235,2458,40,POPLATEK TYDNE,930314
236,588,66,POPLATEK MESICNE,930314
237,7231,10,POPLATEK MESICNE,930314
238,6701,49,POPLATEK TYDNE,930315
239,3883,72,POPLATEK MESICNE,930315
240,222,37,POPLATEK MESICNE,930315
241,2497,65,POPLATEK MESICNE,930316
242,1372,1,POPLATEK MESICNE,930316
243,3835,50,POPLATEK MESICNE,930316
244,7445,64,POPLATEK MESICNE,930318
245,2527,38,POPLATEK MESICNE,930319
246,425,9,POPLATEK MESICNE,930319
247,860,1,POPLATEK MESICNE,930319
248,6034,6,POPLATEK TYDNE,930319
249,11065,11,POPLATEK MESICNE,930319
250,9883,1,POPLATEK MESICNE,930319
251,115,68,POPLATEK MESICNE,930319
252,1189,59,POPLATEK MESICNE,930319
253,3675,64,POPLATEK MESICNE,930320
254,3069,66,POPLATEK MESICNE,930320
255,2762,19,POPLATEK MESICNE,930320
256,892,70,POPLATEK MESICNE,930320
257,1535,46,POPLATEK MESICNE,930320
258,2618,60,POPLATEK MESICNE,930321
259,2651,2,POPLATEK MESICNE,930321
260,5442,34,POPLATEK MESICNE,930322
261,1787,30,POPLATEK TYDNE,930322
262,1397,17,POPLATEK MESICNE,930322
263,3785,10,POPLATEK MESICNE,930324
264,623,1,POPLATEK MESICNE,930324
265,8260,31,POPLATEK MESICNE,930324
266,3678,1,POPLATEK MESICNE,930324
267,3001,1,POPLATEK MESICNE,930324
268,655,53,POPLATEK MESICNE,930324
269,4093,1,POPLATEK MESICNE,930325
270,3260,68,POPLATEK MESICNE,930325
271,2528,65,POPLATEK MESICNE,930325
272,2011,75,POPLATEK MESICNE,930325
273,1721,68,POPLATEK MESICNE,930325
274,1332,59,POPLATEK MESICNE,930325
275,1402,74,POPLATEK MESICNE,930326
276,3283,68,POPLATEK MESICNE,930326
277,3781,31,POPLATEK MESICNE,930326
278,7203,71,POPLATEK MESICNE,930326
279,1065,72,POPLATEK MESICNE,930327
280,3076,54,POPLATEK MESICNE,930327
281,4347,1,POPLATEK MESICNE,930327
282,1157,7,POPLATEK MESICNE,930327
283,9403,1,POPLATEK TYDNE,930327
284,1874,9,POPLATEK MESICNE,930327
285,1115,34,POPLATEK MESICNE,930327
286,3586,59,POPLATEK MESICNE,930327
287,62,47,POPLATEK MESICNE,930328
288,1771,69,POPLATEK MESICNE,930328
289,5483,13,POPLATEK MESICNE,930328
290,8330,48,POPLATEK MESICNE,930328
291,187,5,POPLATEK MESICNE,930328
292,423,12,POPLATEK MESICNE,930328
293,6425,31,POPLATEK MESICNE,930329
294,2493,62,POPLATEK MESICNE,930329
295,2896,29,POPLATEK MESICNE,930330
296,2245,29,POPLATEK MESICNE,930330
297,3923,52,POPLATEK MESICNE,930330
298,1898,70,POPLATEK MESICNE,930401
299,3367,1,POPLATEK MESICNE,930401
300,3391,74,POPLATEK MESICNE,930401
301,8519,23,POPLATEK MESICNE,930402
302,1780,1,POPLATEK MESICNE,930402
303,3915,65,POPLATEK MESICNE,930402
304,3980,75,POPLATEK MESICNE,930403
305,4350,63,POPLATEK MESICNE,930404
306,686,41,POPLATEK MESICNE,930404
307,362,15,POPLATEK MESICNE,930404
308,299,77,POPLATEK MESICNE,930405
309,2488,5,POPLATEK MESICNE,930406
310,2985,71,POPLATEK MESICNE,930406
311,385,5,POPLATEK MESICNE,930407
312,2817,56,POPLATEK MESICNE,930407
313,2056,58,POPLATEK MESICNE,930407
314,2002,1,POPLATEK MESICNE,930408
315,748,10,POPLATEK MESICNE,930408
316,220,72,POPLATEK MESICNE,930409
317,1422,68,POPLATEK MESICNE,930409
318,1147,44,POPLATEK MESICNE,930410
319,3788,70,POPLATEK MESICNE,930410
320,1891,32,POPLATEK MESICNE,930410
321,1239,1,POPLATEK MESICNE,930410
322,8321,77,POPLATEK MESICNE,930412
323,3213,51,POPLATEK MESICNE,930412
324,2838,3,POPLATEK TYDNE,930413
325,3644,38,POPLATEK MESICNE,930413
326,4318,33,POPLATEK TYDNE,930413
327,2648,51,POPLATEK MESICNE,930413
328,2313,26,POPLATEK TYDNE,930413
329,5428,24,POPLATEK MESICNE,930414
330,7123,64,POPLATEK PO OBRATU,930414
331,279,39,POPLATEK MESICNE,930414
332,104,37,POPLATEK MESICNE,930415
333,497,55,POPLATEK MESICNE,930415
334,1152,45,POPLATEK MESICNE,930415
335,83,26,POPLATEK MESICNE,930416
336,2008,52,POPLATEK MESICNE,930416
337,3327,45,POPLATEK MESICNE,930416
338,5740,43,POPLATEK MESICNE,930416
339,8132,5,POPLATEK TYDNE,930417
340,10738,45,POPLATEK TYDNE,930417
341,2216,74,POPLATEK MESICNE,930417
342,1815,66,POPLATEK MESICNE,930417
343,2823,57,POPLATEK MESICNE,930418
344,4321,47,POPLATEK MESICNE,930418
345,1773,33,POPLATEK MESICNE,930419
346,7454,4,POPLATEK MESICNE,930419
347,188,54,POPLATEK MESICNE,930420
348,10973,18,POPLATEK TYDNE,930420
349,2599,48,POPLATEK MESICNE,930420
350,1166,11,POPLATEK MESICNE,930421
351,504,73,POPLATEK MESICNE,930421
352,1518,67,POPLATEK MESICNE,930421
353,2189,75,POPLATEK MESICNE,930422
354,6040,1,POPLATEK MESICNE,930422
355,2876,52,POPLATEK MESICNE,930422
356,1505,69,POPLATEK MESICNE,930423
357,6897,48,POPLATEK MESICNE,930423
358,4377,28,POPLATEK MESICNE,930424
359,717,75,POPLATEK MESICNE,930424
360,9707,70,POPLATEK MESICNE,930424
361,2814,72,POPLATEK MESICNE,930425
362,3068,59,POPLATEK MESICNE,930425
363,1476,61,POPLATEK MESICNE,930426
364,897,38,POPLATEK MESICNE,930426
365,977,1,POPLATEK MESICNE,930426
366,2639,17,POPLATEK MESICNE,930426
367,1032,11,POPLATEK MESICNE,930426
368,928,20,POPLATEK MESICNE,930426
369,168,31,POPLATEK MESICNE,930427
370,2175,1,POPLATEK MESICNE,930427
371,10105,55,POPLATEK MESICNE,930428
372,1392,60,POPLATEK MESICNE,930428
373,3697,45,POPLATEK MESICNE,930429
374,5313,40,POPLATEK MESICNE,930429
375,2222,47,POPLATEK MESICNE,930501
376,2641,7,POPLATEK MESICNE,930502
377,5423,15,POPLATEK MESICNE,930502
378,2609,73,POPLATEK MESICNE,930503
379,5472,1,POPLATEK MESICNE,930504
380,2932,72,POPLATEK MESICNE,930504
381,4254,70,POPLATEK MESICNE,930504
382,3965,31,POPLATEK MESICNE,930504
383,10656,8,POPLATEK MESICNE,930505
384,887,1,POPLATEK MESICNE,930505
385,4743,64,POPLATEK MESICNE,930505
386,1048,35,POPLATEK MESICNE,930505
387,1671,6,POPLATEK MESICNE,930505
388,1236,19,POPLATEK MESICNE,930505
389,1822,30,POPLATEK MESICNE,930505
390,3316,28,POPLATEK MESICNE,930506
391,2037,20,POPLATEK MESICNE,930506
392,10079,62,POPLATEK MESICNE,930506
393,3999,35,POPLATEK MESICNE,930506
394,551,77,POPLATEK MESICNE,930507
395,1200,33,POPLATEK MESICNE,930507
396,1161,66,POPLATEK MESICNE,930508
397,5372,48,POPLATEK MESICNE,930508
398,3050,60,POPLATEK MESICNE,930508
399,1784,59,POPLATEK MESICNE,930508
400,1603,1,POPLATEK MESICNE,930509
401,1887,68,POPLATEK MESICNE,930509
402,1644,1,POPLATEK MESICNE,930509
403,1658,73,POPLATEK MESICNE,930510
404,44,32,POPLATEK MESICNE,930510
405,1039,70,POPLATEK TYDNE,930510
406,1071,68,POPLATEK TYDNE,930510
407,2410,54,POPLATEK MESICNE,930511
408,2523,10,POPLATEK MESICNE,930511
409,790,54,POPLATEK MESICNE,930511
410,2583,62,POPLATEK MESICNE,930511
411,1782,8,POPLATEK MESICNE,930512
412,751,3,POPLATEK MESICNE,930512
413,2061,24,POPLATEK MESICNE,930512
414,8261,13,POPLATEK MESICNE,930512
415,2321,35,POPLATEK MESICNE,930513
416,1334,74,POPLATEK MESICNE,930514
417,3649,54,POPLATEK MESICNE,930514
418,555,24,POPLATEK MESICNE,930515
419,3173,39,POPLATEK MESICNE,930515
420,863,71,POPLATEK MESICNE,930516
421,3181,42,POPLATEK MESICNE,930516
422,3210,1,POPLATEK MESICNE,930517
423,489,16,POPLATEK MESICNE,930517
424,947,59,POPLATEK MESICNE,930517
425,3284,64,POPLATEK MESICNE,930517
426,1610,52,POPLATEK MESICNE,930517
427,4225,55,POPLATEK MESICNE,930518
428,1412,64,POPLATEK MESICNE,930518
429,1937,36,POPLATEK MESICNE,930518
430,991,39,POPLATEK MESICNE,930518
431,1180,20,POPLATEK MESICNE,930519
432,2758,70,POPLATEK MESICNE,930519
433,2711,58,POPLATEK MESICNE,930519
434,1652,74,POPLATEK MESICNE,930520
435,3099,70,POPLATEK MESICNE,930520
436,11111,1,POPLATEK MESICNE,930520
437,9591,74,POPLATEK MESICNE,930520
438,9828,11,POPLATEK MESICNE,930520
439,5385,44,POPLATEK TYDNE,930521
440,23,30,POPLATEK MESICNE,930522
441,2645,54,POPLATEK MESICNE,930522
442,2991,19,POPLATEK MESICNE,930522
443,3469,76,POPLATEK MESICNE,930522
444,1851,55,POPLATEK MESICNE,930523
445,3844,67,POPLATEK MESICNE,930523
446,1442,23,POPLATEK MESICNE,930523
447,3064,40,POPLATEK MESICNE,930523
448,3558,4,POPLATEK MESICNE,930523
449,1534,1,POPLATEK MESICNE,930524
450,334,1,POPLATEK MESICNE,930524
451,1786,1,POPLATEK MESICNE,930525
452,1272,40,POPLATEK TYDNE,930525
453,2436,67,POPLATEK MESICNE,930525
454,3796,53,POPLATEK MESICNE,930525
455,119,27,POPLATEK MESICNE,930525
456,3063,72,POPLATEK MESICNE,930526
457,18,43,POPLATEK TYDNE,930526
458,11320,44,POPLATEK MESICNE,930526
459,3888,39,POPLATEK MESICNE,930527
460,1584,30,POPLATEK MESICNE,930527
461,5546,43,POPLATEK MESICNE,930528
462,2029,55,POPLATEK MESICNE,930529
463,10911,1,POPLATEK TYDNE,930529
464,2467,33,POPLATEK MESICNE,930529
465,2962,1,POPLATEK MESICNE,930530
466,165,25,POPLATEK MESICNE,930601
467,1617,45,POPLATEK MESICNE,930601
468,327,54,POPLATEK MESICNE,930602
469,2068,21,POPLATEK MESICNE,930602
470,4448,60,POPLATEK MESICNE,930602
471,640,32,POPLATEK MESICNE,930602
472,510,1,POPLATEK TYDNE,930602
473,2534,61,POPLATEK MESICNE,930603
474,1018,7,POPLATEK MESICNE,930603
475,1285,65,POPLATEK MESICNE,930604
476,3670,27,POPLATEK MESICNE,930604
477,1743,51,POPLATEK MESICNE,930604
478,3072,8,POPLATEK MESICNE,930605
479,2146,31,POPLATEK MESICNE,930605
480,4576,27,POPLATEK MESICNE,930605
481,3258,53,POPLATEK MESICNE,930605
482,2176,67,POPLATEK MESICNE,930606
483,8934,51,POPLATEK MESICNE,930606
484,1999,70,POPLATEK MESICNE,930606
485,2741,15,POPLATEK MESICNE,930607
486,4427,32,POPLATEK MESICNE,930607
487,3682,70,POPLATEK MESICNE,930607
488,2862,33,POPLATEK MESICNE,930607
489,3032,5,POPLATEK MESICNE,930607
490,701,69,POPLATEK MESICNE,930608
491,6281,56,POPLATEK MESICNE,930608
492,306,16,POPLATEK MESICNE,930608
493,1207,67,POPLATEK MESICNE,930608
494,1247,25,POPLATEK MESICNE,930608
495,5343,64,POPLATEK MESICNE,930608
496,5129,68,POPLATEK MESICNE,930608
497,3713,14,POPLATEK TYDNE,930608
498,2327,19,POPLATEK MESICNE,930608
499,774,1,POPLATEK MESICNE,930608
500,1990,1,POPLATEK MESICNE,930609
501,2388,30,POPLATEK MESICNE,930609
502,3566,21,POPLATEK MESICNE,930609
503,10266,54,POPLATEK MESICNE,930610
504,3771,22,POPLATEK MESICNE,930611
505,1978,57,POPLATEK TYDNE,930611
506,2022,72,POPLATEK MESICNE,930611
507,3542,49,POPLATEK MESICNE,930611
508,1515,11,POPLATEK MESICNE,930611
509,4171,28,POPLATEK MESICNE,930612
510,433,20,POPLATEK MESICNE,930612
511,1373,47,POPLATEK MESICNE,930612
512,3246,54,POPLATEK MESICNE,930614
513,1475,1,POPLATEK TYDNE,930614
514,3133,66,POPLATEK MESICNE,930614
515,2779,73,POPLATEK MESICNE,930615
516,135,75,POPLATEK MESICNE,930615
517,446,50,POPLATEK MESICNE,930615
518,9093,47,POPLATEK MESICNE,930616
519,432,46,POPLATEK MESICNE,930616
520,2880,71,POPLATEK MESICNE,930616
521,5767,72,POPLATEK MESICNE,930616
522,1998,1,POPLATEK MESICNE,930617
523,2554,36,POPLATEK MESICNE,930618
524,2933,10,POPLATEK MESICNE,930618
525,773,15,POPLATEK MESICNE,930619
526,4894,14,POPLATEK MESICNE,930620
527,3969,39,POPLATEK MESICNE,930620
528,1277,31,POPLATEK MESICNE,930620
529,5120,1,POPLATEK MESICNE,930621
530,738,34,POPLATEK MESICNE,930621
531,1299,1,POPLATEK MESICNE,930621
532,148,8,POPLATEK MESICNE,930621
533,899,72,POPLATEK MESICNE,930621
534,3521,75,POPLATEK MESICNE,930622
535,3786,21,POPLATEK MESICNE,930622
536,886,1,POPLATEK MESICNE,930623
537,5228,77,POPLATEK PO OBRATU,930623
538,702,12,POPLATEK MESICNE,930623
539,300,1,POPLATEK MESICNE,930623
540,1451,64,POPLATEK MESICNE,930624
541,2940,54,POPLATEK MESICNE,930624
542,1837,23,POPLATEK MESICNE,930624
543,3954,22,POPLATEK MESICNE,930625
544,885,1,POPLATEK MESICNE,930625
545,2697,8,POPLATEK MESICNE,930626
546,8129,45,POPLATEK MESICNE,930626
547,1930,3,POPLATEK MESICNE,930627
548,2411,69,POPLATEK MESICNE,930627
549,3775,19,POPLATEK MESICNE,930627
550,9034,1,POPLATEK MESICNE,930628
551,902,74,POPLATEK MESICNE,930629
552,630,71,POPLATEK MESICNE,930629
553,3096,68,POPLATEK MESICNE,930629
554,2552,52,POPLATEK MESICNE,930701
555,3435,59,POPLATEK MESICNE,930701
556,5215,55,POPLATEK MESICNE,930701
557,36,1,POPLATEK MESICNE,930701
558,2687,76,POPLATEK MESICNE,930701
559,1861,54,POPLATEK MESICNE,930702
560,2464,33,POPLATEK PO OBRATU,930702
561,2736,72,POPLATEK MESICNE,930702
562,1145,31,POPLATEK MESICNE,930703
563,2298,31,POPLATEK MESICNE,930703
564,929,54,POPLATEK MESICNE,930703
565,381,68,POPLATEK MESICNE,930704
566,3778,52,POPLATEK MESICNE,930704
567,1118,48,POPLATEK MESICNE,930704
568,4352,2,POPLATEK MESICNE,930705
569,1322,17,POPLATEK MESICNE,930705
570,1852,35,POPLATEK MESICNE,930705
571,8173,11,POPLATEK MESICNE,930705
572,2705,63,POPLATEK PO OBRATU,930705
573,9472,1,POPLATEK TYDNE,930706
574,368,77,POPLATEK MESICNE,930706
575,1425,76,POPLATEK MESICNE,930706
576,8027,44,POPLATEK TYDNE,930707
577,3261,1,POPLATEK MESICNE,930707
578,35,75,POPLATEK MESICNE,930707
579,2186,63,POPLATEK MESICNE,930707
580,1566,73,POPLATEK MESICNE,930707
581,78,74,POPLATEK MESICNE,930707
582,3939,70,POPLATEK MESICNE,930708
583,2584,50,POPLATEK MESICNE,930708
584,2336,39,POPLATEK MESICNE,930708
585,2078,62,POPLATEK MESICNE,930708
586,3882,10,POPLATEK MESICNE,930709
587,4159,74,POPLATEK MESICNE,930709
588,907,41,POPLATEK MESICNE,930709
589,1411,54,POPLATEK MESICNE,930709
590,1684,32,POPLATEK TYDNE,930710
591,3748,1,POPLATEK MESICNE,930710
592,2213,68,POPLATEK MESICNE,930711
593,1062,6,POPLATEK MESICNE,930711
594,273,24,POPLATEK PO OBRATU,930711
595,10320,68,POPLATEK MESICNE,930711
596,1416,66,POPLATEK TYDNE,930712
597,3277,36,POPLATEK MESICNE,930712
598,1892,28,POPLATEK MESICNE,930713
599,3413,70,POPLATEK MESICNE,930713
600,3654,47,POPLATEK MESICNE,930713
601,3000,28,POPLATEK MESICNE,930714
602,3955,64,POPLATEK MESICNE,930714
603,1544,69,POPLATEK MESICNE,930714
604,9703,68,POPLATEK MESICNE,930715
605,234,73,POPLATEK MESICNE,930715
606,3241,44,POPLATEK MESICNE,930716
607,3465,1,POPLATEK MESICNE,930716
608,3152,1,POPLATEK MESICNE,930716
609,1497,1,POPLATEK MESICNE,930716
610,3078,1,POPLATEK MESICNE,930716
611,400,28,POPLATEK MESICNE,930717
612,1902,50,POPLATEK TYDNE,930717
613,757,50,POPLATEK MESICNE,930719
614,1116,1,POPLATEK MESICNE,930720
615,5700,42,POPLATEK MESICNE,930720
616,3267,64,POPLATEK MESICNE,930721
617,3222,4,POPLATEK MESICNE,930721
618,408,41,POPLATEK MESICNE,930721
619,2818,40,POPLATEK MESICNE,930721
620,6273,38,POPLATEK MESICNE,930721
621,2513,70,POPLATEK MESICNE,930722
622,3493,63,POPLATEK MESICNE,930722
623,1201,61,POPLATEK MESICNE,930723
624,4478,70,POPLATEK MESICNE,930723
625,2915,57,POPLATEK MESICNE,930723
626,9833,20,POPLATEK MESICNE,930724
627,2253,74,POPLATEK MESICNE,930724
628,1069,70,POPLATEK MESICNE,930724
629,207,2,POPLATEK MESICNE,930725
630,3212,70,POPLATEK MESICNE,930725
631,4035,1,POPLATEK MESICNE,930725
632,1268,74,POPLATEK MESICNE,930725
633,3287,18,POPLATEK MESICNE,930726
634,6226,74,POPLATEK TYDNE,930726
635,2123,64,POPLATEK MESICNE,930726
636,3982,26,POPLATEK MESICNE,930727
637,2701,71,POPLATEK MESICNE,930727
638,3629,48,POPLATEK MESICNE,930727
639,2841,71,POPLATEK MESICNE,930727
